brandname,details,sizes,mrp,sellprice,discount,category
Lemon & Pepper,pu open back womens casual wedge heel sandals - cream,"Size:35,36,37,38,39,40,41",2799.0,1959,30% ,Footwear-Women
Von Wellx,pvc slipon womens casual wear slippers - black,"Size:36,37,38,39,40,41",0.0,2999,Nan,Footwear-Women
Tresmode,leather slip on womens casual loafers - black,"Size:37,38",3900.0,2925,25% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - white,"Size:35,37,38,39",2400.0,1320,45% ,Footwear-Women
Inc.5,synthetic womens casual wear flats - natural,"Size:37,38,39",1890.0,945,50% ,Footwear-Women
Ceriz,polyurethane regular toe womens casual flats - sage,"Size:35,36,37,39",1799.0,1259,30% ,Footwear-Women
Von Wellx,synthetic slipon round toe womens casual wear shoes - black,"Size:3,4,5,6,7,8",0.0,2599,Nan,Footwear-Women
Clarks,leather slip on womens casual sandals,"Size:4,5,6,7,8",0.0,8999,Nan,Footwear-Women
Guess,womens casual wear slippers - black,"Size:5,6,7,8,9,10",2999.0,1499,50% ,Footwear-Women
Monrow,rubber velcro womens sports sandals - black,Size:36,2499.0,999,60% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - pink,"Size:35,36,37,39",1500.0,1125,25% ,Footwear-Women
Monrow,polyurethane slipon womens ethnic sandals - gunmetal,Size:37,1899.0,949,50% ,Footwear-Women
Lemon & Pepper,suede buckle womens casual sandals - black,"Size:36,37,38,39,40",3999.0,3399,15% ,Footwear-Women
Modare,slip on womens ballerinas - black,"Size:36,37,39",3999.0,2799,30% ,Footwear-Women
Monrow,rubber slip on womens casual slip ons - rose gold,Size:36,1899.0,949,50% ,Footwear-Women
Haute Curry,womens casual wear slipon casual shoes - gold,"Size:36,37,38",2499.0,1249,50% ,Footwear-Women
Reebok,mesh lace up womens sports shoes - pink,"Size:6.5,7.5,8.5,9.5",6599.0,3299,50% ,Footwear-Women
Puma,textile lace up womens sports shoes - black,"Size:3,4,5,6,7",0.0,6499,Nan,Footwear-Women
Haute Curry,womens casual wear buckle closure flats - gold,"Size:36,39,40",2499.0,1249,50% ,Footwear-Women
Puma,textile lace up womens sports shoes - black,"Size:4,5,6,7",0.0,5499,Nan,Footwear-Women
Reebok,mesh lace up womens sports shoes - maroon,"Size:6.5,7.5,8.5",5599.0,2799,50% ,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual sandals - blue,"Size:35,36,37,38,39,40",3299.0,2474,25% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - gunmetal,"Size:36,37,38,39,40",1999.0,999,50% ,Footwear-Women
Modare,pu slip on round toe womens casual slides - olive,"Size:37,39",3499.0,2799,20% ,Footwear-Women
Inc.5,patent slip on womens casual peep toes - natural,"Size:4,5,6,7",2990.0,1490,50% ,Footwear-Women
Clarks,leather lace up womens casual pumps - black,"Size:4,5,6,7,8",0.0,8499,Nan,Footwear-Women
Haute Curry,womens casual wear slipon loafers - ice blue,Size:36,2799.0,1399,50% ,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - gold,"Size:36,37,38,39,40,41",0.0,2499,Nan,Footwear-Women
Solethreads,synthetic slip on womens casual wear flats - green,"Size:4,5,6,7,8,9",0.0,599,Nan,Footwear-Women
Catwalk,synthetic slip on womens casual loafers - natural,"Size:5,6,7",2895.0,1447,50% ,Footwear-Women
Clarks,leather slipon womens casual ballerinas - black,"Size:4,5,6,7,8",0.0,4499,Nan,Footwear-Women
Shoetopia,synthetic womens party sandals - red,"Size:36,37,38,39,40,41",999.0,699,30% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - black,"Size:36,37,38,39,40",999.0,699,30% ,Footwear-Women
Estatos,womens casual wear slipon slider flats - white,"Size:36,37,38,39",999.0,499,50% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - copper,"Size:35,36,37,38,39,40",1995.0,1495,25% ,Footwear-Women
Solethreads,yoga v shape comfortable plant based sole womens flip flops - brown,"Size:4,5,6,7,8,9",0.0,999,Nan,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - off white,"Size:36,37,38,39,40",3299.0,2804,15% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - pink,"Size:35,36,37,38",1500.0,1125,25% ,Footwear-Women
Ceriz,synthetic open toe womens casual sandals - grey,"Size:36,37",2199.0,1099,50% ,Footwear-Women
Catwalk,patent tie up womens casual wear loafers - blue,"Size:5,6,7",2795.0,1397,50% ,Footwear-Women
Ceriz,synthetic pointed toe womens casual ballerinas - natural,Size:37,1899.0,949,50% ,Footwear-Women
Lemon & Pepper,womens casual wear slip on heeled shoes - natural,Size:36,3299.0,1649,50% ,Footwear-Women
Monrow,suede buckle womens party wear sandals - black,"Size:39,40,41",0.0,3699,Nan,Footwear-Women
Von Wellx,womens germany comfort black flats joanna - black,"Size:36,37",0.0,2099,Nan,Footwear-Women
Monrow,suede buckle womens party wear sandals - natural,"Size:39,40",0.0,2799,Nan,Footwear-Women
Monrow,polyurethane slipon womens ethnic sandals - rose gold,"Size:37,40",1699.0,951,44% ,Footwear-Women
Catwalk,snake print pu slipon womens casual flats - white,"Size:5,6,7",1895.0,1516,20% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - black,"Size:35,36,37,38,39,40",1995.0,1495,25% ,Footwear-Women
Ceriz,polyurethane pointed toe womens casual flats - mustard,"Size:35,36,37,38,39,40",1599.0,1119,30% ,Footwear-Women
Skechers,knit esla - every move womens casual shoes - pink,"Size:6,7,8,9,10",5499.0,3299,40% ,Footwear-Women
Modare,slip on womens ballerinas - black,"Size:36,37,38,39,40",3799.0,2659,30% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - black,"Size:36,37,38,39,40",3799.0,1899,50% ,Footwear-Women
Monrow,rubber slip on womens casual slides - tan,"Size:37,38,39,40",0.0,1699,Nan,Footwear-Women
Adidas,mesh lace up womens sports shoes - black,"Size:4,5,6,7",0.0,6599,Nan,Footwear-Women
Lazera Shoes,blended round toe slipon womens sandals - gold,"Size:36,37,38,39,40,41",0.0,2499,Nan,Footwear-Women
Lemon & Pepper,polyurethane slipon womens casual sandals - black,"Size:36,37,38,39,40,41",2999.0,2399,20% ,Footwear-Women
Clarks,leather slip on womens casual sandals - orange,"Size:5,6,7,8",0.0,6499,Nan,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual loafers - black,"Size:36,37,38,39,40",3499.0,3149,10% ,Footwear-Women
Adidas,mesh lace up womens sports shoes - grey,"Size:4,5,6,7",0.0,6999,Nan,Footwear-Women
Lazera Shoes,fabric round toe slipon womens sandals - black,"Size:36,37,38,39,40,41",0.0,2599,Nan,Footwear-Women
Modare,pu slip on womens casual sandals - rose gold,"Size:36,37,38,39,40",4999.0,3499,30% ,Footwear-Women
Lemon & Pepper,pu open back womens casual wedge heel sandals - pink,"Size:36,37,38",2199.0,1539,30% ,Footwear-Women
Lazera Shoes,fabric slipon womens ethnic sandals - gunmetal,"Size:36,37,38,39,40,41",0.0,2095,Nan,Footwear-Women
Haute Curry,womens casual wear buckle closure flats - cream,"Size:36,39,40",2499.0,1249,50% ,Footwear-Women
Adidas,galaxy 5 new fabric lace up womens sports shoes - blue,"Size:5,3-4Y,5-6Y,7-8Y",0.0,4999,Nan,Footwear-Women
Ceriz,polyurethane round toe womens casual loafers - tan,"Size:35,36,37,38,39,40",0.0,2299,Nan,Footwear-Women
Flipside,pvc slide strap soft toe womens casual sliders - pink,"Size:4,4.5,5.5,7,7.5,8.5",0.0,499,Nan,Footwear-Women
Estatos,womens casual wear buckle closure flats - black,Size:38,1649.0,824,50% ,Footwear-Women
Von Wellx,lenia synthetic slipon womens casual slippers - brown,"Size:36,37,38,39,40,41",0.0,2999,Nan,Footwear-Women
Ceriz,polyurethane regular toe womens casual flats - pink,"Size:35,36,37,39",1799.0,1259,30% ,Footwear-Women
Monrow,rubber slip on womens casual slip ons - yellow,"Size:37,38",1899.0,892,53% ,Footwear-Women
Monrow,polyurethane zipper womens casual boots - tan,Size:39,3299.0,2012,39% ,Footwear-Women
Puma,leadcat ylm lite unisex casual slides - white,"Size:3,4,5",0.0,3499,Nan,Footwear-Women
Catwalk,fabric slip on womens casual mules - black,"Size:5,6,7",2595.0,2076,20% ,Footwear-Women
Modare,pu buckle womens casual sandals - pink,Size:40,4499.0,3149,30% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - red,"Size:36,37,38,39,40",999.0,699,30% ,Footwear-Women
Lemon & Pepper,womens casual wear slipon flats - grey,Size:37,2499.0,1249,50% ,Footwear-Women
Monrow,rubber slip on womens casual slides - black,"Size:36,37,38,39,40,41",1699.0,951,44% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - navy,"Size:36,37,38,39,40",3499.0,1749,50% ,Footwear-Women
Monrow,polyurethane slipon womens casual boots - tan,"Size:36,37,38,39,40,41",0.0,3999,Nan,Footwear-Women
Modare,pu slip on round toe womens casual ballerinas - walnut,"Size:35,36,37,38,39",4999.0,3499,30% ,Footwear-Women
Lazera Shoes,fabric slipon womens ethnic sandals - antique,"Size:36,37,38,39,40,41",0.0,2095,Nan,Footwear-Women
W,polyurethane slipon womens party wear flats - blush,"Size:35,36,37,38,39,40,41,42",2799.0,1679,40% ,Footwear-Women
Adidas,mesh lace up womens sports shoes - blue,"Size:4,5,6,7",0.0,4299,Nan,Footwear-Women
Modare,pu buckle womens casual sandals - gold,"Size:36,38,39,40",3999.0,2799,30% ,Footwear-Women
Lemon & Pepper,pu ankle loop womens casual block heel sandals - gunmetal,"Size:36,37,38,39,40",2999.0,2099,30% ,Footwear-Women
Tresmode,221-amma leather slipon womens casual flats - champagne,"Size:36,37,38,39,40",0.0,3600,Nan,Footwear-Women
Catwalk,textured patent tie up womens casual boots - blue,"Size:4,5,6,7,8,9",1995.0,1596,20% ,Footwear-Women
Catwalk,womens beaded detail t-bar flats - multi,"Size:4,5,6,7,8",2195.0,1756,20% ,Footwear-Women
Catwalk,embellished fabric slipon womens casual sandals - brown,"Size:5,6,7",2095.0,1676,20% ,Footwear-Women
Puma,truffle lace up unisex casual shoes - blue,"Size:3,4,5,6",0.0,4499,Nan,Footwear-Women
Catwalk,pu velcro womens casual wear wedges - blue,"Size:4,5,6,7,8,9",2895.0,2316,20% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic flats - lavender,"Size:35,36,37,39",1500.0,1125,25% ,Footwear-Women
Haute Curry,womens party wear buckle closure heels - gold,"Size:36,37,39,40",2999.0,1499,50% ,Footwear-Women
Monrow,rubber tie up womens party sandals - red,Size:37,2999.0,1289,57% ,Footwear-Women
Modare,polyurethane slipon womens casual slides - coral,"Size:36,37,38,39,40,41",0.0,2499,Nan,Footwear-Women
Monrow,polyurethane slipon womens casual sandals - black,"Size:36,38,39",1899.0,892,53% ,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual loafers - cream,"Size:36,37,38,39,40",3499.0,3149,10% ,Footwear-Women
Tresmode,221-briming synthetic leather slipon womens casual sliponn sandals - gold,"Size:36,37,38,39",0.0,6900,Nan,Footwear-Women
Lemon & Pepper,womens casual wear slip on ballerinas - grey,"Size:36,37,38,39,40",2799.0,1399,50% ,Footwear-Women
Flipside,pvc soft toe womens casual flip flops - blue,"Size:4,4.5,5.5,7,7.5,8.5",0.0,499,Nan,Footwear-Women
Lemon & Pepper,womens casual wear slipon flats - peach,"Size:36,37,38,39,40",2199.0,1099,50% ,Footwear-Women
Modare,pu slip on womens casual boots - camel,"Size:36,37,38,39,40",6999.0,4899,30% ,Footwear-Women
Lazera Shoes,fabric slip on womens casual sandals - black,"Size:37,40,41",0.0,1995,Nan,Footwear-Women
Puma,daisy wns idp mesh slipon womens flip flops - blue,"Size:3,4,5,6",0.0,1799,Nan,Footwear-Women
Lazera Shoes,patent round toe slipon womens sandals - zinc,"Size:37,38,39,40,41",0.0,1795,Nan,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - pink,"Size:38,39,40",3499.0,1749,50% ,Footwear-Women
Lazera Shoes,blended round toe slipon womens sandals - antique,"Size:36,37,38,39,40",0.0,2499,Nan,Footwear-Women
Estatos,womens casual wear slip on ballerinas - burgundy,"Size:39,40",1399.0,909,35% ,Footwear-Women
Shoetopia,synthetic womens casual slides - red,"Size:36,37,38,39,41",0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - red,"Size:37,38,39,40,41",999.0,699,30% ,Footwear-Women
Shoetopia,synthetic womens casual sandals - gold,"Size:36,37,38,40",999.0,699,30% ,Footwear-Women
Shoetopia,suede womens casual sandals - red,"Size:36,40,41",999.0,799,20% ,Footwear-Women
Von Wellx,alisa leather slipon womens casual slippers - tan,"Size:36,38,39",0.0,2999,Nan,Footwear-Women
Estatos,womens casual wear buckle closure flats - peach,"Size:36,37,38,39,40",1199.0,719,40% ,Footwear-Women
Estatos,womens casual wear slip on ballerinas - peach,Size:40,1499.0,974,35% ,Footwear-Women
Estatos,womens casual wear slipon ballerinas - pink,Size:41,1699.0,1104,35% ,Footwear-Women
Ceriz,artificial leather mesh womens casual sneakers - tan,Size:40,2899.0,1449,50% ,Footwear-Women
Monrow,polyurethane slipon womens ethnic sandals - mustard,"Size:37,38",1699.0,951,44% ,Footwear-Women
Ceriz,artificial leather open toe womens casual sandals - blue,"Size:38,39",1999.0,999,50% ,Footwear-Women
Monrow,polyurethane slipon womens casual sandals - tan,Size:37,1899.0,949,50% ,Footwear-Women
Tresmode,synthetic leather slip on womens loafers - black,Size:38,3990.0,1995,50% ,Footwear-Women
Catwalk,pu round toe womens casual wear sandals - gold,"Size:5,6,7",2795.0,2236,20% ,Footwear-Women
Shoetopia,synthetic womens party sandals - gold,"Size:36,37,38,39,40,41",999.0,899,10% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure heels - pink,"Size:39,40,41",3499.0,1749,50% ,Footwear-Women
Adidas,response super x fabric low tops lace up womens sport shoes - blue,"Size:4,5,6,7",0.0,8999,Nan,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure flats - brown,"Size:37,39",2799.0,1399,50% ,Footwear-Women
Lemon & Pepper,polyurethane buckle womens casual sandals - off white,"Size:35,36,37,38,39",0.0,5499,Nan,Footwear-Women
Tresmode,synthetic leather slip on womens casual sandals - blue,"Size:36,37,39",5000.0,2500,50% ,Footwear-Women
Adidas,lace up womens sports shoes - black,"Size:4,5,6,7",0.0,4999,Nan,Footwear-Women
Lemon & Pepper,pu open back womens casual block heel sandals - grey,"Size:36,37,38,39,40",2999.0,2099,30% ,Footwear-Women
Adidas,adilette comfort fabric low tops slipon womens sport sandals - white,"Size:4,5,6,7",0.0,3999,Nan,Footwear-Women
Monrow,rubber buckle womens party sandals - tan,"Size:36,37,38,39,40,41",2399.0,1199,50% ,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - blue denim,"Size:36,37,38,39,40",2999.0,2399,20% ,Footwear-Women
Clarks,leather lace up womens casual shoes - natural,"Size:4,5,6,7,8",7999.0,5599,30% ,Footwear-Women
Adidas,lace up womens sports shoes - black,"Size:4,5,6,7",0.0,8999,Nan,Footwear-Women
Modare,pu slip on round toe womens casual ballerinas - black,"Size:35,36,37,38,39,40",4999.0,3499,30% ,Footwear-Women
Modare,synthetic no strap womens casual ballerinas - black,Size:37,4999.0,2499,50% ,Footwear-Women
Lemon & Pepper,womens party wear buckle closure heels - black,"Size:36,37,38,40",3299.0,2804,15% ,Footwear-Women
Lemon & Pepper,womens casual wear slip on heels - cream,"Size:35,36,37,38,39,40",2999.0,1499,50% ,Footwear-Women
Catwalk,embellished pu slipon womens casual flats - black,"Size:4,5,6,7,8,9",4295.0,3436,20% ,Footwear-Women
Haute Curry,womens party wear buckle closure heels - gunmetal,"Size:36,37,38,39,40",2999.0,1499,50% ,Footwear-Women
Clarks,suede slip on womens casual sandals - brown,"Size:3,4,5,6,7,8",0.0,4499,Nan,Footwear-Women
Estatos,womens casual wear buckle closure flats - black,Size:38,1299.0,779,40% ,Footwear-Women
Estatos,womens casual wear buckle closure wedges - black,Size:41,1399.0,909,35% ,Footwear-Women
Estatos,womens casual wear sneakers - gold,"Size:36,37",1999.0,1199,40% ,Footwear-Women
Estatos,womens casual wear slip on heeled sandals - olive,Size:39,1899.0,1139,40% ,Footwear-Women
Catwalk,synthetic slipon womens casual wear flat sandals - bronze,"Size:5,6",2395.0,1916,20% ,Footwear-Women
Skechers,leather lace up womens casual shoes - charcoal,Size:7,4999.0,2999,40% ,Footwear-Women
Monrow,polyurethane slipon womens casual sandals - navy,"Size:36,38",1899.0,892,53% ,Footwear-Women
Inc.5,synthetic closed back womens heels - black,Size:10,2390.0,1195,50% ,Footwear-Women
Clarks,synthetic slipon womens casual ballerinas - navy,"Size:4,5,6,7,8",4999.0,2499,50% ,Footwear-Women
Reebok,pu slip on womens sports shoes - natural,Size:7.5,3999.0,1999,50% ,Footwear-Women
Shoetopia,synthetic womens casual slides - pink,"Size:36,37,38,39,40",0.0,499,Nan,Footwear-Women
Shoetopia,synthetic womens casual sandals - black,Size:39,999.0,699,30% ,Footwear-Women
Lemon & Pepper,womens casual wear slip on loafers - black,"Size:36,37,38,39,40",3299.0,1649,50% ,Footwear-Women
Estatos,womens casual wear slip on heeled sandals - blue,"Size:37,38,39,40,41",2199.0,1099,50% ,Footwear-Women
Lemon & Pepper,womens casual wear buckle closure flats - natural,"Size:36,37,38,39,40",2799.0,1399,50% ,Footwear-Women
W,suede slipon womens casual wear flats - maroon,"Size:40,42",1999.0,1399,30% ,Footwear-Women
Monrow,suede buckle womens party wear sandals - gold,"Size:39,40,41",0.0,3699,Nan,Footwear-Women
Modare,pu slip on round toe womens casual flip flops - white,"Size:37,38,39,40",2999.0,2399,20% ,Footwear-Women
Modare,pu zipper womens casual boots - brown,"Size:36,38,39,40",6999.0,4899,30% ,Footwear-Women
Lazera Shoes,fabric slipon womens casual sandals - gold,"Size:36,37,38,39,40,41",0.0,2295,Nan,Footwear-Women
Modare,womens casual wear slip on flats - camel,"Size:36,37",2199.0,1099,50% ,Footwear-Women
Puma,womens casual wear slippers - black,Size:Error Size,0.0,1299,Nan,Footwear-Women
Lemon & Pepper,pu slip on womens casual wear flats - black,"Size:36,37,38,39,40",3799.0,3039,20% ,Footwear-Women
Lazera Shoes,patent round toe slipon womens sandals - gunmetal,"Size:37,38,39,40,41",0.0,1695,Nan,Footwear-Women
Monrow,suede buckle womens party wear sandals - black,"Size:39,40",0.0,2799,Nan,Footwear-Women
Monrow,suede tie up womens party sandals - tan,"Size:36,37,38,39,40,41",0.0,2399,Nan,Footwear-Women
Lemon & Pepper,womens party wear buckle closure heels - blue,"Size:36,37,39,40",3999.0,1999,50% ,Footwear-Women
Signature Sole,synthetic slipon womens casual sandals - red,"Size:35,36,37,39",2400.0,1560,35% ,Footwear-Women
Signature Sole,synthetic slipon womens ethnic sandals - gold,"Size:36,37,38,39,40,41",3200.0,2720,15% ,Footwear-Women
Adidas,lace up womens sports shoes - black,"Size:4,5,6,7",0.0,7999,Nan,Footwear-Women
Signature Sole,synthetic slipon womens casual sandals - pink,"Size:35,37,38,39,40",2400.0,1560,35% ,Footwear-Women
Sole Head,womens synthetic white heels ballerinas - white,Size:38,0.0,999,Nan,Footwear-Women
Flipside,unisex harry rubber flip flops - blue,Size:10,0.0,249,Nan,Footwear-Women
Modare,pu slip on round toe womens formal ballerinas - natural,"Size:36,37,38,39,40",4499.0,3149,30% ,Footwear-Women
Puma,ronni v3 idp synthetic velcro womens casual sandals - blue,"Size:3,4,5,6,7",0.0,799,Nan,Footwear-Women
